Committee(s) (modern name as of 2020),Subcommittee(s) (name at time of hearing),Title,Link,Hearing Date,Sortable Hearing Date,Chamber,Majority,Topic areas,Description,Event,ID,Witness 1,Witness 1 Federal Employee?,Witness 2,Witness 2 Federal Employee?,Witness 3,Witness 3 Federal Employee?,Witness 4,Witness 4 Federal Employee?,Witness 5,Witness 5 Federal Employee?,Witness 6,Witness 6 Federal Employee?,Witness 7,Witness 7 Federal Employee?,Witness 8,Witness 8 Federal Employee?,Witness 9,Witness 9 Federal Employee?,Witness 10,Witness 10 Federal Employee?,Witness 11,Witness 11 Federal Employee?,Witness 12,Witness 12 Federal Employee?,Witness 13,Witness 13 Federal Employee?,Witness 14,Witness 14 Federal Employee?,Witness 15,Witness 15 Federal Employee?,Witness 16,Witness 16 Federal Employee?
House Committee on Appropriations (US),"Subcommittee on Labor, Health, and Human Services, and Education",Oversight Hearing—Public Health Emergency Medical Countermeasures Enterprise,https://www.govinfo.gov/app/details/CHRG-113hhrg92629/CHRG-113hhrg92629,"February 27, 2014",2014-02-27,House,R,Medical preparedness / emergency response,"The House Committee on Appropriations Subcommittee on Labor, Health and Human Services, Education, and Related Agencies held an oversight hearing (see pages 1-118) to examine the activities of the Public Health Emergency Medical Countermeasure Enterprise (PHEMCE), a grouping of federal agencies involved in the development of medical countermeasures. The Subcommittee heard testimony from senior officials in the Department of Health and Human Services. Conversation centered on the extent to which PHEMCE was adequately creating functional countermeasures, competition between funding for PHEMCE and other forms of public health preparedness, and the extent to which PHEMCE was focusing enough on emerging infectious disease threats from nature in addition to biological agents that might be used for bioterrorism.",,909,George Korch Jr.,1,Robin Robinson,1,Daniel Sosin,1,Luciana Borio,1,Michael Kurilla,1,,,,,,,,,,,,,,,,,,,,,,
House Committee on Appropriations (US),"Subcommittee on State, Foreign Operations, and Related Programs","Funding to Prevent, Prepare for, and Respond to the Ebola Virus Disease Outbreak",https://www.govinfo.gov/app/details/CHRG-114hhrg97414/CHRG-114hhrg97414,"February 11, 2015",2015-02-11,House,R,International aid / collaboration,"The House Committee on Appropriations Subcommittee on State, Foreign Operations, and Related Programs held an oversight hearing (see pages 1-110) to investigate the use of emergency appropriations to support the U.S. government response to the West Africa Ebola epidemic. The Subcommittee heard testimony from senior officials at the Department of State and U.S. Agency for International Development. Topics discussed included the actions taken by the U.S. government, non-governmental organizations (NGOs), and other actors to combat the epidemic; ongoing steps necessary to contain the epidemic; and the importance of further support for preparedness abroad, including through the Global Health Security Agenda.",2014-2016 Ebola (West Africa),916,Steve Browning,1,Dirk Dijkerman,1,Jeremy Konyndyk,1,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Armed Services (US),Subcommittee on Emerging Threats and Capabilities,Outside Views on Biodefense for the Department of Defense,https://www.govinfo.gov/app/details/CHRG-114hhrg98913/CHRG-114hhrg98913,"February 3, 2016",2016-02-03,House,R,Strategic planning,"The House Committee on Armed Services Subcommittee on Emerging Threats and Capabilities held a hearing to investigate the findings of the Blue Ribbon Study Panel on Biodefense (later renamed the Bipartisan Commission on Biodefense), a privately-funded panel of former federal government officials that investigated U.S. biodefense posture. Two members of the Study Panel testified to the magnitude of the threat from biological events, including emerging infectious disease from nature, biological attacks, and biological accidents. Their recommendations included centralizing leadership for biodefense activity in the Office of the Vice President, establishing a national biodefense strategy, aligning fragmented programs across agencies, improving counter-biological weapons programs at the Department of Defense, and expanding congressional oversight of biodefense activity.",,744,Gerald Parker,0,Kenneth Wainstein,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Armed Services (US),"Subcommittee on Intelligence, Emerging Threats and Capabilities",Biodefense: Worldwide Threats and Countermeasure Efforts for the Department of Defense,https://www.govinfo.gov/app/details/CHRG-113hhrg85327/CHRG-113hhrg85327/context . MEETING,"October 11, 2013",2013-10-11,House,R,Medical preparedness / emergency response,"The House Committee on Armed Services Subcommittee on Intelligence, Emerging Threats and Capabilities held a hearing to evaluate biological weapons programs that might pose a threat to national security. Testimony was heard from private sector witnesses. The Subcommittee discussed biological weapons technology, medical countermeasures for pandemic influenza and other pathogens, and the overall ways in which strong biodefense systems can help protect against a bioweapons attack. ",,737,Bruce Bennett,0,Brett Giroir,0,Philip Russell,0,Amy Smithson,0,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Armed Services (US),Subcommittee on Military Procurement and the Subcommittee on Military Research,U.S. Forces: Threat Posed By Proliferation of Chemical and Biological Weapons,https://books.google.com/books?id=w23W3wt0_eMC&pg=RA6-PA1&lpg=RA6-PA1#v=onepage&q&f=false,"October 20, 1999",1999-10-20,House,R,Threat / risk awareness,"The House Committee on Armed Services Subcommittees on Military Procurement and on Military Research and Development held a joint hearing on the threat to U.S. forces posed by the proliferation of chemical and biological weapons. The subcommittees heard updates on foreign biological and chemical weapons programs and the implications for U.S. defense. The DoD also presented its program for improving the U.S. forces' chemical and biological defenses, including personal protective equipment and medical countermeasures.",,704,Norman Rabkin,1,Richard Mayo,1,James MacArthur,1,Hans Mark,1,Ken Alibek,0,,,,,,,,,,,,,,,,,,,,,,
House Committee on Armed Services (US),"Subcommittee on Terrorism, Unconventional Threats and Capabilities",Fiscal Year 2004 National Defense Authorization Act: Department of Defense efforts to address the chemical and biological threat,https://books.google.com/books?id=F5HbZqPUe7sC,"March 19, 2003",2003-03-19,House,R,Medical preparedness / emergency response,"The House Committee on Armed Services Subcommittee on Terrorism, Unconventional Threats and Capabilities held a hearing on Department of Defense policy and programs to counter the threat of weapons of mass destruction (WMD). Witnesses described advances in military technology to protect against a WMD threat. Among other topics, testimony described the Defense Advanced Research Projects Agency's Unconventional Pathogen Countermeasures program, which works to develop medical countermeasures for naturally occurring and intentional biologic threats, moving beyond ""one-bug-one-drug"" therapties.",,858,Dale Klein,1,Anthony Tether,1,Stephen Younger,1,Stephen Reeves,1,Stephen Goldfein,1,,,,,,,,,,,,,,,,,,,,,,
House Committee on Energy and Commerce (US),Jointly between Subcommittee on Health and Subcommittee on Oversight and Investigations,Flu Vaccine: Protecting High-Risk Individuals and Strengthening the Market,https://www.govinfo.gov/app/details/CHRG-108hhrg97274/CHRG-108hhrg97274,"November 18, 2004",2004-11-18,House,R,Medical preparedness / emergency response,"Two subcommittees of the House Energy and Commerce Committee, the Subcommittee on Health and the Subcommittee on Oversight and Investigations, jointly held a hearing on the shortage of vaccines to address seasonal influenza. The subcommittees heard testimony from federal and outside witnesses. Conversation centered on the lack of suppliers for influenza vaccine, regulatory oversight of vaccine development, vaccine delivery planning, and opportunities for collaboration between the federal government and the private sector in the development of medical countermeasures for influenza.",,3352,Kathleen Coelingh,0,Lester Crawford,1,Anthony Fauci,1,Julie Gerberding,1,Janet Heinrich,1,Mark Mlotek,0,Janet Olszewski,0,Peter Paradiso,0,Alan Rosenbloom,0,,,,,,,,,,,,,,
House Committee on Energy and Commerce (US),Subcommittee on Health,Furthering Public Health Security: Project Bioshield,https://www.govinfo.gov/app/details/CHRG-108hhrg87480/CHRG-108hhrg87480,"March 27, 2003",2003-03-27,House,R,Medical preparedness / emergency response,"The House Committee on Energy and Commerce Subcommittee on Health met jointly with the House Select Committee on Homeland Security Subcommittee on Emergency Preparedness and Response to discuss the proposed federal medical countermeasures acquisition program, Project BioShield. The committees received testimony from the Secretary of Health and Human Services and private sector witnesses, hearing updates on bioterrorism preparedness and perspectives on how the acquisition program might work. Dr. Anthony Fauci, who was present, was asked to comment and noted that a lot of the expertise that has been built for biodefense to intentional acts could be applied to naturally occurring infections like severe acute respiratory syndrome (SARS) or pandemic influenza.",,706,Tommy Thompson,1,James Baker Jr.,0,Michael Friedman,0,Gary Noble,0,J. Leighton Read,0,,,,,,,,,,,,,,,,,,,,,,
House Committee on Energy and Commerce (US),Subcommittee on Health,The Threat of and Planning for Pandemic Flu,https://www.govinfo.gov/app/details/CHRG-109hhrg21642/CHRG-109hhrg21642,"May 26, 2005",2005-05-26,House,R,Threat / risk awareness,"The House Committee on Energy and Commerce Subcommittee on Health held a hearing on the threat of pandemic influenza. Members and witnesses discussed the nature of the threat, including links to animal influenzas, and  advances in influenza preparedness, such as vaccine availability. Some discussants expressed concern that the United States was under-prepared for an influenza pandemic. ",2005 H5N1,717,Bruce Gellin,1,Julie Gerberding,1,Anthony Fauci,1,Marcia Crosse,1,Phillip Hosbach,0,Dominick Iacuzio,0,Andrew Pavia,0,Ralph Tripp,0,,,,,,,,,,,,,,,,
House Committee on Energy and Commerce (US),Subcommittee on Health,Examining Medical Product Development in the Wake of the Ebola Epidemic,https://www.govinfo.gov/app/details/CHRG-113hhrg97486/CHRG-113hhrg97486,"November 19, 2014",2014-11-19,House,R,Medical preparedness / emergency response,"The House Committee on Energy and Commerce Subcommittee on Health held a hearing to investigate barriers to the development of medical countermeasures to combat Ebola virus disease in response to the West Africa Ebola epidemic. The Subcommittee heard testimony from senior officials with the Department of Health and Human Services. Topics discussed included the role of the federal government in catalyzing the development of countermeasures through the Public Health Emergency Medical Countermeasures Enterprise, insufficient financial incentives for proactive vaccine and therapeutic development, and the Food and Drug Administrations's  Priority Review Voucher program for neglected tropical diseases.",2014-2016 Ebola (West Africa),913,Robin Robinson,1,Luciana Borio,1,Stephen Redd,1,Anthony Fauci,1,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Energy and Commerce (US),Subcommittee on Health,"Examining H.R. 3299, Strengthening Public Health Response Act",https://www.govinfo.gov/app/details/CHRG-114hhrg21335/CHRG-114hhrg21335,"May 19, 2016",2016-05-19,House,R,Medical preparedness / emergency response,"The House Committee on Energy and Commerce Subcommittee on Health held a legislative hearing on a proposed bill, H.R. 3299, the ""Strengthening Public Health Response Act."" The Act would modify the Pandemic and All-Hazards Preparedness Act to further address incentivizes for the development of medical countermeasures, stockpiling in the Strategic National Stockpile, and elements of the Hospitals Preparedness Program to boost medical surge capacity for health emergencies. The Subcommittee heard testimony from senior officials within the Department of Health and Human Services and Department of Defense.",,926,Russell Coleman,1,Richard Hatchett,1,Michael Mair,1,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Energy and Commerce (US),Subcommittee on Health,Examining the Reauthorization of the Pandemic and All-Hazards Preparedness Act,https://www.govinfo.gov/app/details/CHRG-115hhrg34016/CHRG-115hhrg34016,"June 6, 2018",2018-06-06,House,R,Medical preparedness / emergency response,"The House Committee on Energy and Commerce Subcommittee on Health held a hearing on issues relevant to the reauthorization of the Pandemic and All-Hazards Preparedness Act (PAHPA). The Subcommittee heard from senior federal officials and individuals from outside the federal government. Conversation focused on the role of the federal government in directing preparedness, including by coordinating among localities, stockpiling medical countermeasures in the Strategic National Stockpile, conducting disease surveillance, protecting first responders, and addressing antimicrobial resistance.",,933,Anna Abram,1,Robert Kadlec,1,Stephen Redd,1,Umair Shah,0,Michelle Berrey,0,Erik Decker,0,,,,,,,,,,,,,,,,,,,,
House Committee on Energy and Commerce (US),Subcommittee on Oversight and Investigations,Creating the Department of Homeland Security: Consideration of the Administration's Proposal - Part 1,https://www.govinfo.gov/app/details/CHRG-107hhrg80680/CHRG-107hhrg80680,"June 25, 2002",2002-06-25,House,R,Strategic planning,"The Committee on Energy and Commerce Subcommittee on Oversight and Investigations heard testimony about the creation of the Department of Homeland Security (DHS) in a two-hearing series. Although the topics of the hearing were as wide-ranging as DHS' proposed mission spaces, it did cover infectious disease detection, medical preparedness, and related matters. The American Society for Microbiology, for instance, testified that the Centers for Disease Control and Prevention should maintain authority for a variety of responsibilities related to response to public health threats like infectious disease outbreaks.",,3346,Claude Allen,1,Philip Anderson,0,Ronald Atlas,0,Donald Cobb,1,John Gordon,1,Janet Heinrich,1,David Nokes,1,Tara O'Toole,0,Edward Plaugher,0,Tom Ridge,1,Lew Stringer,0,Harry Vantine,1,,,,,,,,
House Committee on Energy and Commerce (US),Subcommittee on Oversight and Investigations,Creating the Department of Homeland Security: Consideration of the Administration's Proposal - Part 2,https://www.govinfo.gov/app/details/CHRG-107hhrg80680/CHRG-107hhrg80680,"July 9, 2002",2002-07-09,House,R,Strategic planning,"The Committee on Energy and Commerce Subcommittee on Oversight and Investigations heard testimony about the creation of the Department of Homeland Security (DHS) in a two-hearing series. Although the topics of the hearing were as wide-ranging as DHS' proposed mission spaces, it did cover infectious disease detection, medical preparedness, and related matters. The American Society for Microbiology, for instance, testified that the Centers for Disease Control and Prevention should maintain authority for a variety of responsibilities related to response to public health threats like infectious disease outbreaks.",,3347,Jeremiah Baumann,0,Gail Cassell,0,Donald Cobb,1,Guy Copeland,0,Lynn Constantini,0,Robert Dacey,1,Margaret Hamburg,0,Jerome Hauer,1,Janet Heinrich,1,James McDonnell,1,William Smith,0,David Sobel,0,John Sullivan Jr.,0,John Tritak,1,Samuel Varnado,1,Kenneth Watson,0
House Committee on Energy and Commerce (US),Subcommittee on Oversight and Investigations,"SARS: Assessment, Outlook, and Lessons Learned",https://www.govinfo.gov/app/details/CHRG-108hhrg87484/CHRG-108hhrg87484,"May 7, 2003",2003-05-07,House,R,Medical preparedness / emergency response,"The House Committee on Energy and Commerce Subcommittee on Oversight and Investigations heard updates on efforts to contain severe acute respiratory syndrome (SARS) cases in the United States, and evaluated future public health preparedness. Discussion noted that SARS control efforts had mainly been successful, but urged caution for influenza and other infectious disease pandemics. The Subcommittee noted particular weaknesses in detection capabilities and highlighted the importance of protecting the healthcare workforce",2003 SARS,708,Jerome Hauer,1,Julie Gerberding,1,Anthony Fauci,1,Murray Lumpkin,1,Janet Heinrich,1,Georges Benjamin,0,Barry Bloom,0,John Brenna,0,Denis Burger,0,Robert Capetola,0,Paul Fischer,0,James Hodge Jr.,0,Karin Kerby,0,Nils Lonberg,0,Jared Schwartz,0,,
House Committee on Energy and Commerce (US),Subcommittee on Oversight and Investigations,Federal Oversight of High-Containment Biolaboratories,https://www.govinfo.gov/app/details/CHRG-111hhrg74099/CHRG-111hhrg74099,"September 22, 2009",2009-09-22,House,D,Other,"The House Committee on Energy and Commerce Subcommittee on Oversight and Investigations held a hearing on the federal government's oversight and regulation of high-containment laboratories, which handle pathogens associated with emerging infectious diseases. The Committee heard testimony from federal and other witnesses. Conversation centered on the findings of a Government Accountability Office report, which noted the recent proliferation of high-containment laboratories, the lack of an agency tasked with determine aggregate risk from these laboratories, and the resulting inability of the Federal Government to determine whether high-containment laboratory capacity met or exceeded the national need or was at a level that could be operated safely.",,3359,Nancy Kingsbury,1,Ronald Atlas,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Energy and Commerce (US),Subcommittee on Oversight and Investigations,Influenza: Perspective on Current Season and Update on Preparedness,https://www.govinfo.gov/app/details/CHRG-113hhrg79620/CHRG-113hhrg79620,"February 13, 2013",2013-02-13,House,R,Medical preparedness / emergency response,"The House Committee on Energy and Commerce Subcommittee on Oversight and Investigations held a hearing to investigate the U.S. government's response to seasonal influenza, in light of the year's particularly severe flu season. The Subcommittee heard from senior officials in the Department of Health and Human Services and the Government Accountability Office. Conversation focused on activities to develop an effective vaccine, conduct disease surveillance, and increase vaccine uptake.",,907,Thomas Frieden,1,Jesse Goodman,1,Marcia Crosse,1,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Energy and Commerce (US),Subcommittee on Oversight and Investigations,Examining the U.S. Public Health Response to the Ebola Outbreak,https://www.govinfo.gov/app/details/CHRG-113hhrg93903/CHRG-113hhrg93903,"October 16, 2014",2014-10-16,House,R,Medical preparedness / emergency response,"The House Committee on Energy and Commerce Subcommittee on Oversight and Investigations held a hearing to examine the United States' response to the 2014 Ebola outbreak. The Committee looked at the status of the outbreak and response efforts, considering clinical features of the disease, lack of vaccine availability, and risk to the United States. Discussion covered cases reported in Texas and mistakes that led to a slow response to the diagnosed Ebola case in Dallas.",2014-2016 Ebola (West Africa),740,Thomas Frieden,1,Anthony Fauci,1,Luciana Borio,1,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Energy and Commerce (US),Subcommittee on Oversight and Investigations,Update on the U.S. Public Health Response to the Ebola Outbreak,https://www.govinfo.gov/app/details/CHRG-113hhrg93989/CHRG-113hhrg93989/contexthttps://www.govinfo.gov/app/details/CHRG-113hhrg93989/CHRG-113hhrg93989,"November 18, 2014",2014-11-18,House,R,Medical preparedness / emergency response,"The House Committee on Energy and Commerce Subcommittee on Oversight and Investigations held a hearing to provide updates on the U.S. public health response to the 2014 Ebola outbreak. The Subcommittee discussed lessons learned to date from the outbreak, and also focused on how a $6.2 billion emergency supplemental funding request would be spent for Ebola mitigation efforts.",2014-2016 Ebola (West Africa),743,Thomas Frieden,1,Nicole Lurie,1,Boris Lushniak,1,David Lakey,0,Ken Isaacs,0,Jeff Gold,0,,,,,,,,,,,,,,,,,,,,
House Committee on Energy and Commerce (US),Subcommittee on Oversight and Investigations,Examining the U.S. Public Health Response to Seasonal Influenza,https://www.govinfo.gov/app/details/CHRG-114hhrg94848/CHRG-114hhrg94848,"February 3, 2015",2015-02-03,House,R,Medical preparedness / emergency response,"The House Committee on Energy and Commerce Subcommittee on Oversight and Investigations held a hearing to investigate the U.S. government's response to seasonal influenza, particularly in light of the year's low vaccine effectiveness. The Subcommittee heard testimony from senior officials with the Department of Health and Human Services. Conversation centered on ways to improve vaccine effectiveness and generally improve medical countermeasure development, as well as other ways for the federal government to mitigate the spread of the virus.",,915,Anne Schuchat,1,Karen Midthun,1,Robin Robinson,1,Anthony Fauci,1,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Energy and Commerce (US),Subcommittee on Oversight and Investigations,U.S. Public Health Preparedness for Seasonal Influenza: Has the Response Improved?,https://www.govinfo.gov/app/details/CHRG-114hhrg99741/CHRG-114hhrg99741,"November 19, 2015",2015-11-19,House,R,Medical preparedness / emergency response,"The House Committee on Energy and Commerce Subcommittee on Oversight and Investigations held a hearing on the U.S. government's actions to address seasonal influenza. The Subcommittee heard testimony from multiple senior officials within the Department of Health and Human Services. Topics discussed included the need for improved disease surveillance both within the United States and abroad, the importance of increasing vaccination rates and vaccine effectiveness, and improving vaccine manufacturing technologies.",,922,Anne Schuchat,1,Karen Midthun,1,Robin Robinson,1,Carole Heilman,1,,,,,,,,,,,,,,,,,,,,,,,,
